"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Sup. Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)","Total tax (ETB)","Total tax (USD)"
"2017","01","1071 100","07099900","--OTHER","Somalia","","","3723460.0","3237223.0","366189819.81","15121250.8541556","0.0","0.0"
"2017","01","1000 100","71081300","--Other Semi-manufacturedforms gold (incl. gold plated with platinum), non-monetary","Switzerland","","","574.5","512.0","357906051.01","14779185.2388208","0.0","0.0"
"2017","01","1000 100","12074090","--OTHER","China","","","11729688.0","11704000.0","266616965.88","11009541.5135711","0.0","0.0"
"2017","01","1071 100","06031100","--Roses","Netherlands","","","2972391.0","2615472.98","237612602.8","9811850.51761373","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","1433610.0","1410000.0","126785043.59","5235395.26487701","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Germany","","","1256673.0","1246800.0","113259364.07","4676872.93047417","0.0","0.0"
"2017","01","1071 100","07099900","--OTHER","Djibouti","","","685113.0","652472.94","110766693.96","4573941.9149437","0.0","0.0"
"2017","01","1000 100","07132000","Dried chickpeas, shelled","Pakistan","","","4563108.0","4554000.0","109347015.88","4515318.47098514","0.0","0.0"
"2017","01","1000 100","02045000","Fresh, chilled or frozen goat meat","United Arab Emirates","","","896308.3","873448.1","106755433.18","4408303.0107074","0.0","0.0"
"2017","01","1000 100","07139000","Dried leguminous vegetables, shelled, nes","Viet Nam","","","4234368.0","4224000.0","95184536.08","3930500.43894966","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Belgium","","","907717.0","896400.0","93740806.77","3870883.83608141","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United States","","","608792.0","601200.0","80381876.01","3319247.13774265","0.0","0.0"
"2017","01","1000 100","02045000","Fresh, chilled or frozen goat meat","Saudi Arabia","","","582790.0","571036.03","72158216.37","2979663.63861601","0.0","0.0"
"2017","01","1000 100","12074090","--OTHER","Israel","","","3065342.2","3059000.0","71551064.01","2954592.20668211","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Japan","","","761261.0","751800.0","60312265.49","2490503.13995598","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Korea, Republic of","","","692441.0","683820.0","58377710.25","2410618.62790035","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Kenya","","","7224227.1","7221110.0","56381743.9","2328198.23759441","0.0","0.0"
"2017","01","1000 100","12074090","--OTHER","United Arab Emirates","","","2094180.0","2090000.0","48503833.9","2002891.94322973","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Pakistan","","","3258504.0","3252000.0","45870530.33","1894153.68317167","0.0","0.0"
"2017","01","1000 100","07133100","Dried beans, shelled","Viet Nam","","","1821636.0","1818000.0","41041798.06","1694758.53887161","0.0","0.0"
"2017","01","1000 100","07132000","Dried chickpeas, shelled","United Arab Emirates","","","1680554.0","1677200.0","40727847.0","1681794.40803736","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","France","","","543169.0","536400.0","39224902.15","1619732.58963781","0.0","0.0"
"2017","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Netherlands","53160199.0","UN","114022.0","86326.0","38661699.9","1596476.01055461","0.0","0.0"
"2017","01","1071 100","07019000","Other potatoes, fresh or chilled","Somalia","","","5893632.0","5838975.0","38375326.79","1584650.66916079","0.0","0.0"
"2017","01","3052 505","62042900","--WOMEN'S OR GIRLS' ENSEMBLES OF OTHER TEXTILES, NES","Germany","711970.0","UN","211964.3","161363.3","38106866.01","1573564.99015151","0.0","0.0"
"2017","01","1000 100","12019000","-OTHER","India","","","3967419.0","3959500.0","35668832.45","1472890.10773468","0.0","0.0"
"2017","01","1000 101","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","548100.0","540000.0","35100217.25","1449410.00912586","0.0","0.0"
"2017","01","1000 101","12074090","--OTHER","China","","","1523648.0","1520000.0","34121716.2","1409004.29865094","0.0","0.0"
"2017","01","1071 100","01022910","---OX","Somalia","2443.0","UN","827540.0","827540.0","33288749.64","1374608.21327255","0.0","0.0"
"2017","01","1071 100","12074090","--OTHER","China","","","1523040.0","1520000.0","33260709.16","1373450.32436026","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Italy","","","362213.0","357600.0","32969263.49","1361415.51932741","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Sudan","","","656928.9","650580.0","32598437.27","1346102.81538925","0.0","0.0"
"2017","01","3052 505","64059000","-Other","United States","133559.0","2UN","93083.0","50296.0","28700115.94","1185127.57371918","0.0","0.0"
"2017","01","1000 100","07132000","Dried chickpeas, shelled","Iran, Islamic Republic of","","","1202400.0","1200000.0","28641720.54","1182716.22462","0.0","0.0"
"2017","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United Kingdom","","","194400.0","194400.0","27708777.36","1144191.75699615","0.0","0.0"
"2017","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Belgium","","","218720.0","218000.0","26691199.66","1102172.43577832","0.0","0.0"
"2017","01","3052 505","41131000","LEATHER OF GOATS OR KIDS PREPARED AFTER TANNING OR CRUSTING..","China","","","102585.8","100520.8","25949049.13","1071526.46003411","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Portugal","","","2092368.0","2088000.0","25767738.11","1064039.49762356","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","India","","","1820446.0","1816260.0","25588341.08","1056631.57051481","0.0","0.0"
"2017","01","1000 100","07139000","Dried leguminous vegetables, shelled, nes","Indonesia","","","1154880.0","1152000.0","25111982.23","1036961.05736077","0.0","0.0"
"2017","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Japan","","","351135.0","346800.0","24731293.59","1021241.09981046","0.0","0.0"
"2017","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Germany","","","384000.0","384000.0","23897812.66","986823.774306373","0.0","0.0"
"2017","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United States","","","194440.0","192000.0","23837654.02","984339.614897035","0.0","0.0"
"2017","01","1000 100","12074090","--OTHER","Turkey","","","990014.0","988000.0","22580712.26","932436.119404218","0.0","0.0"
"2017","01","1071 100","06031900","--Other cut flowers","Netherlands","","","235999.4","207714.48","22443689.04","926777.954238569","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United Arab Emirates","","","228097.5","224100.0","22234958.38","918158.739557912","0.0","0.0"
"2017","01","1000 100","09041100","Dried pepper (excl. crushed or ground)","Sudan","","","327619.0","326700.0","21919699.52","905140.60511461","0.0","0.0"
"2017","01","1000 100","12079990","--OTHER","United States","","","1094184.0","1092000.0","20975653.55","866157.664688709","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","China","","","135047.25","133380.0","18766602.36","774938.260470993","0.0","0.0"
"2017","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Germany","15077300.0","UN","64992.0","48744.0","18093575.46","747146.63974332","0.0","0.0"
"2017","01","1000 100","12074090","--OTHER","Yemen","","","869736.0","868000.0","17889051.69","738701.14217757","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Russian Federation","","","1096234.4","1094000.0","17544688.57","724481.191647155","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Netherlands","","","143737.75","141900.0","17434944.7","719949.485689746","0.0","0.0"
"2017","01","1000 100","07133900","Dried beans, shelled, nes","Viet Nam","","","722160.0","720000.0","16166147.04","667556.418864512","0.0","0.0"
"2017","01","1071 100","17031000","Cane molasses resulting from the extraction or refining of sugar","Djibouti","","","7050000.0","7050000.0","16159609.34","667286.454500783","0.0","0.0"
"2017","01","1071 100","06031100","--Roses","United Kingdom","","","201688.0","177480.44","15735552.05","649775.654604842","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","South Africa","","","864774.0","863000.0","15031804.38","620715.466471761","0.0","0.0"
"2017","01","3052 505","64051000","-FOOTWEAR, NES, WITH LEATHER OR COMPOSITION LEATHER UPPERS","China","41381.0","2UN","34476.49","19000.1","14814436.74","611739.600857253","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Turkey","","","889776.0","888000.0","14665249.82","605579.154227007","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Yemen","","","838674.0","837000.0","14631592.92","604189.343805359","0.0","0.0"
"2017","01","1071 100","06031100","--Roses","Saudi Arabia","","","185255.5","163018.98","14271989.04","589340.049304411","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Finland","","","112753.5","111360.0","14152395.55","584401.618291359","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United Kingdom","","","116640.0","115200.0","14102573.99","582344.312855898","0.0","0.0"
"2017","01","1071 100","01041000","LIVE SHEEP","Saudi Arabia","10000.0","UN","250000.0","250000.0","13594989.6","561384.388588135","0.0","0.0"
"2017","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","United States","6604051.0","UN","32941.0","24704.0","12855063.46","530830.265640937","0.0","0.0"
"2017","01","1071 100","12019000","-OTHER","Viet Nam","","","1322640.0","1320000.0","12693399.4","524154.594518704","0.0","0.0"
"2017","01","1000 100","12074090","--OTHER","Viet Nam","","","571140.0","570000.0","12074427.8","498595.105071252","0.0","0.0"
"2017","01","1071 100","07020000","Tomatoes fresh or chilled","Somalia","","","1768621.0","1475760.0","12045998.13","497421.145150701","0.0","0.0"
"2017","01","1000 100","07132000","Dried chickpeas, shelled","Jordan","","","456987.7","455912.0","11848984.61","489285.77191961","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Australia","","","116688.0","115200.0","11714584.67","483735.931105963","0.0","0.0"
"2017","01","1000 100","25232900","--other","Djibouti","","","4739382.05","4733100.0","11500057.04","474877.339378698","0.0","0.0"
"2017","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Belgium","11378312.0","UN","25424.0","23219.0","10067239.59","415711.325148966","0.0","0.0"
"2017","01","3052 505","64052000","-With upper of textile materials","Sierra Leone","207090.0","2UN","71095.0","67343.0","9781450.47","403910.098732703","0.0","0.0"
"2017","01","3052 505","41139000","-OTHER","China","","","59047.0","57868.0","9759926.25","403021.288852","0.0","0.0"
"2017","01","1000 100","12074090","--OTHER","Canada","","","380760.0","380000.0","9501516.2","392350.639429489","0.0","0.0"
"2017","01","3052 505","63022100","Printed bed-linen of cotton (excl. knitted or crocheted)","Germany","","","93580.5","87715.5","9332962.17","385390.45749043","0.0","0.0"
"2017","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Spain","","","64800.0","64800.0","9236259.12","381397.252332049","0.0","0.0"
"2017","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","109620.0","108000.0","8929221.3","368718.59321383","0.0","0.0"
"2017","01","1071 100","12074090","--OTHER","United Arab Emirates","","","418836.0","418000.0","8922466.64","368439.669817359","0.0","0.0"
"2017","01","1000 100","07135000","Dried broad beans and horse beans, shelled","Sudan","","","761520.0","760000.0","8732569.8","360598.169047236","0.0","0.0"
"2017","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Sweden","","","115440.0","115200.0","8673029.67","358139.550066276","0.0","0.0"
"2017","01","3052 505","52094200","--Denim","Turkey","","","126902.0","125429.0","8482135.54","350256.867724606","0.0","0.0"
"2017","01","3052 505","85171200","-- Telephone for cellular networks or for other wireless networks","Togo","48600.0","UN","7246.87","6565.67","8275594.79","341728.08204188","0.0","0.0"
"2017","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","Netherlands","","","531070.0","530000.0","8050650.87","332439.365484434","0.0","0.0"
"2017","01","1000 100","12074090","--OTHER","Saudi Arabia","","","323580.87","322935.0","7821694.73","322984.970413224","0.0","0.0"
"2017","01","3052 505","64032000","-SANDLES, WITH LEATHER SOLES AND STRAPS (OVER INSTEP, AROUND BIG TOE)","United States","44118.0","2UN","41618.0","23051.0","7766609.0","320710.289095632","0.0","0.0"
"2017","01","1071 100","07139000","Dried leguminous vegetables, shelled, nes","Viet Nam","","","360720.0","360000.0","7668471.12","316657.834817834","0.0","0.0"
"2017","01","1000 100","06021000","UNROOTED CUTTINGS AND SLIPS","Netherlands","8234252.0","UN","38184.0","33852.0","7552037.82","311849.899037449","0.0","0.0"
"2017","01","1000 100","19059020","---Fresh Injera","United States","","","159401.0","148305.0","7438797.53","307173.813741643","0.0","0.0"
"2017","01","1071 100","25231000","-Cement clinkers","Djibouti","","","4086720.0","4086720.0","7411090.62","306029.699094434","0.0","0.0"
