"Year","Month","CPC","HS Code","HS Description","Destination","Quantity","Sup. Unit","Gross Wt. (Kg)","Net.Wt. (Kg)","FOB Value (ETB)","FOB Value (USD)"
"2018","01","1000 100","71081300","--Other Semi-manufacturedforms gold (incl. gold plated with platinum), non-monetary","Switzerland","","","815.9","726.37","699561988.81","25448334.4116845"
"2018","01","1000 100","12074090","--OTHER","China","","","14242575.0","14214000.0","521929252.17","18986494.9224249"
"2018","01","1071 100","07099900","--OTHER","Somalia","","","3676598.0","3195280.0","435972939.94","15859616.9424689"
"2018","01","1071 100","06031100","--Roses","Netherlands","","","2495719.0","2196368.41","247537156.46","9004789.33629204"
"2018","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Germany","","","2785320.0","2773800.0","191170794.12","6954320.52674658"
"2018","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","1890738.0","1860000.0","180454051.53","6564471.94492443"
"2018","01","1000 100","12074090","--OTHER","Israel","","","4074147.2","4066000.0","150878753.61","5488595.77693301"
"2018","01","1071 100","07099900","--OTHER","Djibouti","","","739491.0","704267.28","145574014.54","5295622.4936794"
"2018","01","1000 100","12074090","--OTHER","Turkey","","","3540878.0","3534000.0","126284408.91","4593914.3640299"
"2018","01","1000 100","02045000","Fresh, chilled or frozen goat meat","United Arab Emirates","","","744492.4","724233.48","108524478.98","3947852.05187435"
"2018","01","1000 100","12074090","--OTHER","Japan","","","2817852.0","2812000.0","103982865.89","3782639.40377235"
"2018","01","1000 100","02045000","Fresh, chilled or frozen goat meat","Saudi Arabia","","","589005.4","577177.73","90741883.35","3300965.21762855"
"2018","01","1000 100","12019000","-OTHER","India","","","7495420.0","7480000.0","84363065.11","3068919.59148038"
"2018","01","3052 505","64059000","-Other","United States","247808.0","2UN","207769.0","115700.0","79683146.17","2898675.71872897"
"2018","01","1000 100","12019000","-OTHER","Viet Nam","","","6304584.0","6292000.0","71776851.57","2611064.28163481"
"2018","01","1000 100","07133300","Dried kidney beans, incl. white pea beans, shelled","India","","","4425777.6","4415100.0","70833418.72","2576744.52863821"
"2018","01","1000 100","12079990","--OTHER","United States","","","3513968.4","3507000.0","69143153.27","2515256.853344"
"2018","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Germany","","","716336.0","710700.0","66956784.51","2435722.16700922"
"2018","01","1000 100","12074090","--OTHER","Korea, Republic of","","","1427699.7","1424850.0","54934441.5","1998379.07200931"
"2018","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Japan","","","720645.0","711600.0","53998898.24","1964346.32277779"
"2018","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","United States","","","461708.16","455940.0","53421554.37","1943343.98115644"
"2018","01","1000 100","12074090","--OTHER","Viet Nam","","","1446888.0","1444000.0","52378001.86","1905382.12262864"
"2018","01","1000 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Belgium","","","540544.0","536400.0","48332964.22","1758233.66085233"
"2018","01","1071 100","09011100","COFFEE, NOT ROASTED OR DECAFFEINATED","Saudi Arabia","","","767340.0","756000.0","47821081.58","1739612.63682497"
"2018","01","1071 100","06021000","UNROOTED CUTTINGS AND SLIPS","Netherlands","48853589.0","UN","92333.0","67868.0","46338986.37","1685697.67984139"
"2018","01","1071 100","07019000","Other potatoes, fresh or chilled","Somalia","","","5876901.0","5784425.0","46310675.84","1684667.81280125"
"2018","01","1000 100","12074090","--OTHER","United Arab Emirates","","","1218489.0","1216000.0","44261052.23","1610107.57671111"
